"id","id_crm","id_idealista","estado","id_empresa","contact_id","link_idealista","scope","created_at","updated_at","ref"
139201,"5332660",29619250,inactive,5232,26975325,https://www.idealista.pt/imovel/29619250,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"619"
139202,"5200731",29600870,inactive,5232,26975325,https://www.idealista.pt/imovel/29600870,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,v- Arm408
139203,"5325185",29542826,inactive,5232,26975325,https://www.idealista.pt/imovel/29542826,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,WH- 611
139204,"5238693",29542387,inactive,5232,26975325,https://www.idealista.pt/imovel/29542387,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N-P402 (2)
139205,"5325193",29542817,inactive,5232,26975325,https://www.idealista.pt/imovel/29542817,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"613"
139206,"5302589",29105449,inactive,5232,26975325,https://www.idealista.pt/imovel/29105449,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S- A572
139207,"5291118",28988108,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/28988108,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"559"
139208,"5291065",28988109,inactive,5232,26975325,https://www.idealista.pt/imovel/28988109,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S-M558
139209,"5277746",29058821,inactive,5232,26975325,https://www.idealista.pt/imovel/29058821,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S-M544
139210,"5290852",28983976,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/28983976,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V-M554
139211,"5238071",28676724,inactive,5232,26975325,https://www.idealista.pt/imovel/28676724,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A-s475
139212,"5040807",27982664,inactive,5232,26975325,https://www.idealista.pt/imovel/27982664,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M222
139213,"5040215",27982665,inactive,5232,26975325,https://www.idealista.pt/imovel/27982665,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"126"
139214,"5040209",27982671,inactive,5232,26975325,https://www.idealista.pt/imovel/27982671,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00161
139215,"5040207",27982673,inactive,5232,26975325,https://www.idealista.pt/imovel/27982673,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00176
139216,"5040199",27982680,inactive,5232,26975325,https://www.idealista.pt/imovel/27982680,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,T/00201
139217,"5040196",27982683,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/27982683,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00213
139218,"5040195",27982684,inactive,5232,26975325,https://www.idealista.pt/imovel/27982684,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N/00214
139219,"5040179",27982701,inactive,5232,26975325,https://www.idealista.pt/imovel/27982701,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00042
139220,"5040176",27982704,inactive,5232,26975325,https://www.idealista.pt/imovel/27982704,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N/00068
139221,"5040166",27982714,inactive,5232,26975325,https://www.idealista.pt/imovel/27982714,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N/00085
139222,"5040163",27982717,inactive,5232,26975325,https://www.idealista.pt/imovel/27982717,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,T/00031
139223,"5040159",27982720,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/27982720,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00095
139224,"5040153",27982724,inactive,5232,26975325,https://www.idealista.pt/imovel/27982724,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00106
139225,"5040152",27982725,inactive,5232,26975325,https://www.idealista.pt/imovel/27982725,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,Q/00107
139226,"5040132",27982745,inactive,5232,26975325,https://www.idealista.pt/imovel/27982745,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00100
139227,"5040131",27982746,inactive,5232,26975325,https://www.idealista.pt/imovel/27982746,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00124
139228,"5040129",27982748,inactive,5232,26975325,https://www.idealista.pt/imovel/27982748,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N/00179
139229,"5040126",27982751,inactive,5232,26975325,https://www.idealista.pt/imovel/27982751,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00183
139230,"5040120",27982757,inactive,5232,26975325,https://www.idealista.pt/imovel/27982757,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A/00153
139231,"5040115",27982760,inactive,5232,26975325,https://www.idealista.pt/imovel/27982760,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00163
139232,"5108125",28149897,inactive,5232,26975325,https://www.idealista.pt/imovel/28149897,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,L 276
139233,"5040198",28031846,inactive,5232,26975325,https://www.idealista.pt/imovel/28031846,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M/00204
139234,"5243992",28734266,inactive,5232,26975325,https://www.idealista.pt/imovel/28734266,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V-497
139235,"5189497",28427854,inactive,5232,26975325,https://www.idealista.pt/imovel/28427854,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"395 (1)"
139236,"2686874",27262626,inactive,5232,26975325,https://www.idealista.pt/imovel/27262626,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,n/00014
139237,"2720125",27262636,inactive,5232,26975325,https://www.idealista.pt/imovel/27262636,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,a/00029
139238,"2746778",27262648,inactive,5232,26975325,https://www.idealista.pt/imovel/27262648,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,a/00043
139239,"2793943",27262656,inactive,5232,26975325,https://www.idealista.pt/imovel/27262656,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,a/00051
139240,"2796435",27262658,inactive,5232,26975325,https://www.idealista.pt/imovel/27262658,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,n/00054
139241,"5199486",28478343,inactive,5232,26975325,https://www.idealista.pt/imovel/28478343,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S- L404
139242,"5215733",28559510,inactive,5232,26975325,https://www.idealista.pt/imovel/28559510,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,v-m440
139243,"5197115",28465546,inactive,5232,26975325,https://www.idealista.pt/imovel/28465546,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N-P402 (1)
139244,"5272270",28870434,inactive,5232,26975325,https://www.idealista.pt/imovel/28870434,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,s-537
139245,"5276234",28911794,inactive,5232,26975325,https://www.idealista.pt/imovel/28911794,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,v- 541
139246,"5277777",28933055,inactive,5232,26975325,https://www.idealista.pt/imovel/28933055,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"545"
139247,"5274644",28894844,inactive,5232,26975325,https://www.idealista.pt/imovel/28894844,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S-540
139248,"6042602",31826437,inactive,5232,26975325,https://www.idealista.pt/imovel/31826437,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1237"
139249,"6040847",31776332,active,5232,26975325,https://www.idealista.pt/imovel/31776332,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1225"
139250,"6049424",32026947,inactive,5232,26975325,https://www.idealista.pt/imovel/32026947,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1301"
139251,"6026251",31792340,inactive,5232,26975325,https://www.idealista.pt/imovel/31792340,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1059"
139252,"6044040",31864264,inactive,5232,26975325,https://www.idealista.pt/imovel/31864264,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1248"
139253,"6042433",31819754,inactive,5232,26975325,https://www.idealista.pt/imovel/31819754,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1234"
139254,"5309949",29330120,inactive,5232,26975325,https://www.idealista.pt/imovel/29330120,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S- 582
139255,"5334704",29659473,inactive,5232,26975325,https://www.idealista.pt/imovel/29659473,microsite,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"623"
